index,codepoint,char
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
0,U+304A,お
